,id,polarisability,homo_lumo_gap,ligands,score,lig1,lig2,lig3,lig4
731,731,445.553647,3.62555656575,"REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1615.3799502747079,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
1031,1031,442.507177,3.461360079815,"NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1531.6766774994303,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98178,98179,412.782077,3.701636375789,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1527.969151496936,CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
1181,1181,453.667797,3.305267838829,"LEZYUM-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1499.4935789365036,LEZYUM-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98128,98129,402.695996,3.712166097899,"CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,REBWEB-subgraph-2",1494.8744241108711,CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,REBWEB-subgraph-2
13858,13858,412.9158,3.612519789157,"BICRIQ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1491.666498755594,BICRIQ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13759,13759,402.670689,3.697069745841,"REBWEB-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1488.7016218388503,REBWEB-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13758,13758,402.796526,3.690195901912,"LETTEL-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1486.3980895495902,LETTEL-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13859,13859,412.915976,3.57952492678,"REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1478.0430287576924,REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
756,756,442.146777,3.323750964733,"DOGPAS-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1469.5857766073366,DOGPAS-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
931,931,395.05658,3.690205490465,"MAQKEX-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1457.8399605603254,MAQKEX-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13709,13709,394.514584,3.678428171232,"REBWEB-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1451.1935597474733,REBWEB-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14009,14009,402.148611,3.602929773604,"REBWEB-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1448.9132039853932,REBWEB-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14008,14008,402.144032,3.6009237089,"BABTUT-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1448.0899792214402,BABTUT-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
97928,97929,394.55132,3.640102044161,"CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1436.2070664584207,CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
14458,14458,426.941613,3.350099924944,"GUVMEP-subgraph-0,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1430.2970656667705,GUVMEP-subgraph-0,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13358,13358,394.525634,3.62174423569,"WECJIA-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1428.8709407714427,WECJIA-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98253,98254,402.248132,3.546497314362,"CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1426.5719198451313,CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
831,831,489.810294,2.91010458718,"BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1425.3991834173846,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13708,13708,394.525707,3.609574645745,"EFIHEJ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1424.0699890818207,EFIHEJ-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98103,98104,394.580286,3.592107898632,"CUJYEL-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1417.3749619850735,CUJYEL-subgraph-2,EFIHEJ-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
13808,13808,390.809636,3.608389962449,"KAKKIR-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1410.1935677707474,KAKKIR-subgraph-3,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14459,14459,426.834926,3.303488779447,"REBWEB-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1410.0443887170907,REBWEB-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13359,13359,394.628148,3.571481396513,"REBWEB-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1409.407089122379,REBWEB-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98153,98154,390.906985,3.592863413537,"CUJYEL-subgraph-2,KAKKIR-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2",1404.475404502557,CUJYEL-subgraph-2,KAKKIR-subgraph-3,CUJYEL-subgraph-2,REBWEB-subgraph-2
98136,98137,352.191065,3.972544904052,"CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,MAQKEX-subgraph-1",1399.0948205183965,CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,MAQKEX-subgraph-1
13867,13867,457.098842,3.051874224021,"BIFZEX-subgraph-0,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1395.0081737296478,BIFZEX-subgraph-0,BICRIQ-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
664922,664925,369.891176,3.758640231151,"LETTEL-subgraph-1,CUJYEL-subgraph-2,BICRIQ-subgraph-3,REBWEB-subgraph-2",1390.2878552613552,LETTEL-subgraph-1,CUJYEL-subgraph-2,BICRIQ-subgraph-3,REBWEB-subgraph-2
664924,664927,370.091382,3.755163907873,"REBWEB-subgraph-2,BICRIQ-subgraph-3,LETTEL-subgraph-1,CUJYEL-subgraph-2",1389.7538003012392,REBWEB-subgraph-2,BICRIQ-subgraph-3,LETTEL-subgraph-1,CUJYEL-subgraph-2
14108,14108,425.110073,3.267787959422,"KULGAZ-subgraph-2,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1389.1695779784075,KULGAZ-subgraph-2,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
664923,664926,370.097904,3.7467492138,"REBWEB-subgraph-2,LETTEL-subgraph-1,BICRIQ-subgraph-3,CUJYEL-subgraph-2",1386.6640308410279,REBWEB-subgraph-2,LETTEL-subgraph-1,BICRIQ-subgraph-3,CUJYEL-subgraph-2
98303,98304,425.41756,3.2460450073,"CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2",1380.9245466557481,CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2
13882,13882,409.842961,3.366949306647,"BICRIQ-subgraph-3,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1379.9204733731035,BICRIQ-subgraph-3,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13466,13466,478.225365,2.878340953402,"NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1376.4956530351196,NURKEQ-subgraph-2,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98139,98140,390.781148,3.517453291386,"CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,MOYDOV-subgraph-3",1374.5544352441996,CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,MOYDOV-subgraph-3
856,856,392.405433,3.502508647606,"IRIXUC-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1374.403422450077,IRIXUC-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98228,98229,389.528321,3.526033889958,"CUJYEL-subgraph-2,CEVJAP-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2",1373.4900609444385,CUJYEL-subgraph-2,CEVJAP-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2
13567,13567,459.810608,2.979149449718,"BIFZEX-subgraph-0,BIFMOV-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1369.8445197976991,BIFZEX-subgraph-0,BIFMOV-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
664926,664929,369.921953,3.700672879706,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,LETTEL-subgraph-1,REBWEB-subgraph-2",1368.9601390749774,CUJYEL-subgraph-2,BICRIQ-subgraph-3,LETTEL-subgraph-1,REBWEB-subgraph-2
13809,13809,391.092263,3.494034218138,"REBWEB-subgraph-2,KAKKIR-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1366.4897493710262,REBWEB-subgraph-2,KAKKIR-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98182,98183,457.126004,2.986823721864,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,BIFZEX-subgraph-0",1365.3547926280978,CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,BIFZEX-subgraph-0
14467,14467,471.26714,2.893430346776,"BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1363.5786443143336,BIFZEX-subgraph-0,GUVMEP-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
672723,672726,369.081718,3.693763384172,"REBWEB-subgraph-2,BICRIQ-subgraph-3,BABTUT-subgraph-3,CUJYEL-subgraph-2",1363.3005357156958,REBWEB-subgraph-2,BICRIQ-subgraph-3,BABTUT-subgraph-3,CUJYEL-subgraph-2
13566,13566,459.67135,2.96482545706,"BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1362.8453203611373,BIFMOV-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98261,98262,351.689562,3.872328196361,"CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,MAQKEX-subgraph-1",1361.8574072984502,CUJYEL-subgraph-2,BABTUT-subgraph-3,CUJYEL-subgraph-2,MAQKEX-subgraph-1
13383,13383,391.614604,3.477271861638,"NIZQUK-subgraph-1,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1361.750443095708,NIZQUK-subgraph-1,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13866,13866,457.18926,2.973818712713,"BICRIQ-subgraph-3,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1359.597976639409,BICRIQ-subgraph-3,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
14109,14109,425.484454,3.193710434931,"REBWEB-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1358.8741406407191,REBWEB-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
1081,1081,409.585324,3.316392314661,"CIQGOY-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1358.3456207115357,CIQGOY-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
664925,664928,370.140535,3.665782367277,"REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,LETTEL-subgraph-1",1356.8546466174753,REBWEB-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,LETTEL-subgraph-1
97940,97941,391.547541,3.463114705457,"CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,NIZQUK-subgraph-1",1355.9740471226278,CUJYEL-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,NIZQUK-subgraph-1
98189,98190,400.82285,3.382309772759,"CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,MOYDOV-subgraph-3",1355.707042700115,CUJYEL-subgraph-2,BICRIQ-subgraph-3,CUJYEL-subgraph-2,MOYDOV-subgraph-3
98478,98479,426.921593,3.169128886028,"CUJYEL-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,REBWEB-subgraph-2",1352.9695524453891,CUJYEL-subgraph-2,GUVMEP-subgraph-0,CUJYEL-subgraph-2,REBWEB-subgraph-2
97982,97983,478.211009,2.822409267792,"CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0",1349.7071837617634,CUJYEL-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,BIFZEX-subgraph-0
98132,98133,446.979879,3.017508245395,"CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0",1348.7654704081594,CUJYEL-subgraph-2,LETTEL-subgraph-1,CUJYEL-subgraph-2,BIFZEX-subgraph-0
13908,13908,382.738674,3.522763125717,"UPEGAZ-subgraph-2,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1348.2976875530198,UPEGAZ-subgraph-2,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
664921,664924,369.97715,3.642471678712,"CUJYEL-subgraph-2,LETTEL-subgraph-1,BICRIQ-subgraph-3,REBWEB-subgraph-2",1347.6312906455814,CUJYEL-subgraph-2,LETTEL-subgraph-1,BICRIQ-subgraph-3,REBWEB-subgraph-2
1559,1559,402.614371,3.341589096225,"CUJYEL-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2,REBWEB-subgraph-2",1345.371792117087,CUJYEL-subgraph-2,CUJYEL-subgraph-2,REBWEB-subgraph-2,REBWEB-subgraph-2
13382,13382,391.510274,3.433604927826,"WECJIA-subgraph-3,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1344.2916061009073,WECJIA-subgraph-3,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
98304,98305,421.194865,3.189693138307,"CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,DOGPAS-subgraph-1",1343.4823707806434,CUJYEL-subgraph-2,KULGAZ-subgraph-2,CUJYEL-subgraph-2,DOGPAS-subgraph-1
674074,674077,393.509284,3.412991045314,"REBWEB-subgraph-2,GUVMEP-subgraph-0,BICRIQ-subgraph-3,CUJYEL-subgraph-2",1343.0436625399236,REBWEB-subgraph-2,GUVMEP-subgraph-0,BICRIQ-subgraph-3,CUJYEL-subgraph-2
13781,13781,390.747119,3.434903741009,"MOYDOV-subgraph-3,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1342.178740841589,MOYDOV-subgraph-3,LETTEL-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
674096,674099,438.543985,3.059589811045,"BICRIQ-subgraph-3,CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0",1341.7647082010712,BICRIQ-subgraph-3,CUJYEL-subgraph-2,GUVMEP-subgraph-0,BIFZEX-subgraph-0
13459,13459,433.961288,3.089925426309,"REBWEB-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1340.9080178250028,REBWEB-subgraph-2,NURKEQ-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13395,13395,402.760005,3.325110366824,"LEZYUM-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1339.221467967586,LEZYUM-subgraph-2,WECJIA-subgraph-3,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13766,13766,446.9819,2.995614258866,"LETTEL-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1338.9853530950165,LETTEL-subgraph-1,BIFZEX-subgraph-0,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13782,13782,399.812429,3.34805534765,"LETTEL-subgraph-1,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1338.594140970386,LETTEL-subgraph-1,NIZQUK-subgraph-1,CUJYEL-subgraph-2,CUJYEL-subgraph-2
13558,13558,415.468723,3.217133926202,"BIFMOV-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2",1336.6185240391212,BIFMOV-subgraph-1,REBWEB-subgraph-2,CUJYEL-subgraph-2,CUJYEL-subgraph-2
20808,20808,359.86221,3.713273404285,"CUJYEL-subgraph-2,REBWEB-subgraph-2,LETTEL-subgraph-1,LETTEL-subgraph-1",1336.2667736002236,CUJYEL-subgraph-2,REBWEB-subgraph-2,LETTEL-subgraph-1,LETTEL-subgraph-1
